,Country Name,Country Code,2018 GDP USD,JH Deaths,JH Confirmed,JH Recovered,Area (mi2),Population,Population Density (mi2),Lat,Lng
62,Georgia,GEO,17599700091.0,19.0,2937.0,1422.0,26911.0,3.7296,139.0,42.16903792,43.50705956
63,Germany,DEU,3950000000000.0,17237.0,443146.0,387137.0,137903.0,83.1493,603.0,51.10627344,10.38171087
64,Ghana,GHA,65556464048.0,294.0,45714.0,44896.0,92098.0,30.280811,329.0,7.953546769,-1.216496422
65,Greece,GRC,218000000000.0,325.0,14400.0,1347.0,50949.0,10.724599,210.0,39.05163159,22.97343858
66,Grenada,GRD,1168696296.0,0.0,24.0,24.0,133.0,0.108825,819.0,12.15192856,-61.6574851
67,Guatemala,GTM,73118147808.0,3036.0,83664.0,73260.0,42042.0,17.679735,421.0,15.69597945,-90.35971327
68,Guinea,GIN,12207116729.0,63.0,10154.0,9612.0,94926.0,12.218357,129.0,10.43466008,-10.94260237
69,Guinea-Bissau,GNB,1458156026.0,39.0,2275.0,1127.0,13948.0,1.604528,115.0,12.02764957,-14.97678698
70,Guyana,GUY,3878662621.0,60.0,2027.0,1302.0,83012.0,0.782225,9.4,4.7938516280000005,-58.98013649
71,Haiti,HTI,9658721170.0,220.0,8556.0,6315.0,10450.0,11.403,1091.0,18.93845261,-72.69038570000001
72,Honduras,HND,24024189736.0,2122.0,70120.0,20677.0,43433.0,9.158345,211.0,14.82078177,-86.62542076
73,Hungary,HUN,158000000000.0,663.0,15170.0,4227.0,35919.0,9.764,272.0,47.16314849,19.39635464
74,Iceland,ISL,25737594325.0,10.0,2206.0,2112.0,39682.0,0.36613,9.2,64.99811641,-18.59677619
75,India,IND,2710000000000.0,90671.0,5384203.0,4154176.0,1269219.0,1352.64228,1066.0,22.88810028,79.61589358
76,Indonesia,IDN,1040000000000.0,9222.0,232628.0,166686.0,735358.0,268.0746,365.0,-2.222752603,117.26894170000001
77,Iraq,IRQ,224000000000.0,8332.0,307385.0,241100.0,169235.0,39.309783,232.0,33.03974485,43.74467397
78,Ireland,IRL,383000000000.0,1789.0,32023.0,23364.0,27133.0,4.9215,181.0,53.17772745,-8.145417822
